title,link,price,original_price,purchase_count,ratings,ratings_count,image,age_group,discount
"Skillmatics Board Game Rapid Rumble, Fun for Family Game Night, Educational Toy, Card Game for Kids, Teens & Adults, Gifts for Ages 6, 7, 8, 9 and Up",https://www.amazon.in/Skillmatics-Board-Game-Educational-Friendly/dp/B09NYD15ZH/ref=sr_1_1?dib=eyJ2IjoiMSJ9.Ia83r0UShgS5psMV683oJvjWtOeki0_G3XggXiOUPCvey0cxJg8UnRnBfZTvwuCSs_01zmyPp3OjCcg3C6SoXGMA-4VZpWhPgcjIrz0EfnQFXlwlfls15p44cONrB94nc53yLZmLrn3cfGanvazO1X9b-mP2bQf5BdSrsFEalQvYfGBzzx2O6liWp3fpoCf0zfw4-IH-FWe256fOebq0TOguz4BzG0GgFvZuIMKNs8kR96BX9wGRKljEg8ncYZPEWV1C7EoTbNpwKwsGlBJ8ONxu-yau4Y2GI9chxIqs3isqeRw_19qK9brvo2LH_39NL_v3HTCbY7zJ-qcJHxM9Hrk3iYco52p_m23xq9k2Gvc.vulUGJwcyNKEbAMuwHzh_B7MplNlUV8WuqLF8SesABk&dib_tag=se&qid=1735477082&refinements=p_89%3ASkillmatics&s=toys&sr=1-1,664,699,2K+,4.5,"2,831",https://m.media-amazon.com/images/I/81ae78v6dDL._AC_UL320_.jpg,Ages: 6 years and up,5.01
"Skillmatics Art & Craft Activity Kit - Snip, Snip, Practice Scissor Skills, Craft Kits & Supplies, 25 DIY Activities, Gifts for Toddlers, Girls & Boys Ages 3, 4, 5, 6, 7, Travel Toys,Multicolor, Paper",https://www.amazon.in/Skillmatics-Art-Craft-Activity-Kit/dp/B0CCYHWHXC/ref=sr_1_2?dib=eyJ2IjoiMSJ9.Ia83r0UShgS5psMV683oJvjWtOeki0_G3XggXiOUPCvey0cxJg8UnRnBfZTvwuCSs_01zmyPp3OjCcg3C6SoXGMA-4VZpWhPgcjIrz0EfnQFXlwlfls15p44cONrB94nc53yLZmLrn3cfGanvazO1X9b-mP2bQf5BdSrsFEalQvYfGBzzx2O6liWp3fpoCf0zfw4-IH-FWe256fOebq0TOguz4BzG0GgFvZuIMKNs8kR96BX9wGRKljEg8ncYZPEWV1C7EoTbNpwKwsGlBJ8ONxu-yau4Y2GI9chxIqs3isqeRw_19qK9brvo2LH_39NL_v3HTCbY7zJ-qcJHxM9Hrk3iYco52p_m23xq9k2Gvc.vulUGJwcyNKEbAMuwHzh_B7MplNlUV8WuqLF8SesABk&dib_tag=se&qid=1735477082&refinements=p_89%3ASkillmatics&s=toys&sr=1-2,569,599,1K+,4.2,918,https://m.media-amazon.com/images/I/81znpatUF7L._AC_UL320_.jpg,Ages: 36 months - 7 years,5.01
"Skillmatics Peek-A-Boo Jungle Book - Soft Cloth Book for Baby, Infant & Toddler Toys, Crinkle Pages for Sensory Play, Gifts for Ages 6 Months and Up, Multicolor",https://www.amazon.in/Skillmatics-Peek-Jungle-Ages-Months/dp/B0BTYMG6P2/ref=sr_1_3?dib=eyJ2IjoiMSJ9.Ia83r0UShgS5psMV683oJvjWtOeki0_G3XggXiOUPCvey0cxJg8UnRnBfZTvwuCSs_01zmyPp3OjCcg3C6SoXGMA-4VZpWhPgcjIrz0EfnQFXlwlfls15p44cONrB94nc53yLZmLrn3cfGanvazO1X9b-mP2bQf5BdSrsFEalQvYfGBzzx2O6liWp3fpoCf0zfw4-IH-FWe256fOebq0TOguz4BzG0GgFvZuIMKNs8kR96BX9wGRKljEg8ncYZPEWV1C7EoTbNpwKwsGlBJ8ONxu-yau4Y2GI9chxIqs3isqeRw_19qK9brvo2LH_39NL_v3HTCbY7zJ-qcJHxM9Hrk3iYco52p_m23xq9k2Gvc.vulUGJwcyNKEbAMuwHzh_B7MplNlUV8WuqLF8SesABk&dib_tag=se&qid=1735477082&refinements=p_89%3ASkillmatics&s=toys&sr=1-3,999,"1,200",1K+,3.9,646,https://m.media-amazon.com/images/I/81vKRwQUjlL._AC_UL320_.jpg,Ages: 6 months and up,16.75
"Skillmatics Large Flash Cards for Babies & Infants - High Contrast, Newborn Visual Stimulation & Sensory Development for 0 to 12 Months, 60 Pictures, Gifts, Travel Friendly",https://www.amazon.in/Skillmatics-Flash-Cards-Infants-Stimulation/dp/B0BFDGYSZM/ref=sr_1_4?dib=eyJ2IjoiMSJ9.Ia83r0UShgS5psMV683oJvjWtOeki0_G3XggXiOUPCvey0cxJg8UnRnBfZTvwuCSs_01zmyPp3OjCcg3C6SoXGMA-4VZpWhPgcjIrz0EfnQFXlwlfls15p44cONrB94nc53yLZmLrn3cfGanvazO1X9b-mP2bQf5BdSrsFEalQvYfGBzzx2O6liWp3fpoCf0zfw4-IH-FWe256fOebq0TOguz4BzG0GgFvZuIMKNs8kR96BX9wGRKljEg8ncYZPEWV1C7EoTbNpwKwsGlBJ8ONxu-yau4Y2GI9chxIqs3isqeRw_19qK9brvo2LH_39NL_v3HTCbY7zJ-qcJHxM9Hrk3iYco52p_m23xq9k2Gvc.vulUGJwcyNKEbAMuwHzh_B7MplNlUV8WuqLF8SesABk&dib_tag=se&qid=1735477082&refinements=p_89%3ASkillmatics&s=toys&sr=1-4,664,699,1K+,4.4,"3,878",https://m.media-amazon.com/images/I/71zLJScAfrL._AC_UL320_.jpg,Ages: 0 - 1 years,5.01
"Skillmatics Art & Craft Activity - Poke-in Art Magical Princesses, Mess-Free Art for Kids, DIY Craft Kits, Creative Activity, Fine Motor Skills, Gifts for Girls & Boys Ages 4, 5, 6, 7, 8, 9",https://www.amazon.in/Skillmatics-Art-Craft-Activity-Poke/dp/B0D3F9J33P/ref=sr_1_5?dib=eyJ2IjoiMSJ9.Ia83r0UShgS5psMV683oJvjWtOeki0_G3XggXiOUPCvey0cxJg8UnRnBfZTvwuCSs_01zmyPp3OjCcg3C6SoXGMA-4VZpWhPgcjIrz0EfnQFXlwlfls15p44cONrB94nc53yLZmLrn3cfGanvazO1X9b-mP2bQf5BdSrsFEalQvYfGBzzx2O6liWp3fpoCf0zfw4-IH-FWe256fOebq0TOguz4BzG0GgFvZuIMKNs8kR96BX9wGRKljEg8ncYZPEWV1C7EoTbNpwKwsGlBJ8ONxu-yau4Y2GI9chxIqs3isqeRw_19qK9brvo2LH_39NL_v3HTCbY7zJ-qcJHxM9Hrk3iYco52p_m23xq9k2Gvc.vulUGJwcyNKEbAMuwHzh_B7MplNlUV8WuqLF8SesABk&dib_tag=se&qid=1735477082&refinements=p_89%3ASkillmatics&s=toys&sr=1-5,949,999,1K+,4.6,63,https://m.media-amazon.com/images/I/810ydT8cqDL._AC_UL320_.jpg,Ages: 4 - 9 years,5.01
"Skillmatics Paper Magical Scratch Art Book - Unicorns & Princesses, Craft Kits, Diy Activity & Stickers, Gifts For Girls & Boys Ages 3, 4, 5, 6, 7, 8, Multicolour",https://www.amazon.in/Skillmatics-Paper-Magical-Scratch-Book/dp/B0CCL6NJ4P/ref=sr_1_6?dib=eyJ2IjoiMSJ9.Ia83r0UShgS5psMV683oJvjWtOeki0_G3XggXiOUPCvey0cxJg8UnRnBfZTvwuCSs_01zmyPp3OjCcg3C6SoXGMA-4VZpWhPgcjIrz0EfnQFXlwlfls15p44cONrB94nc53yLZmLrn3cfGanvazO1X9b-mP2bQf5BdSrsFEalQvYfGBzzx2O6liWp3fpoCf0zfw4-IH-FWe256fOebq0TOguz4BzG0GgFvZuIMKNs8kR96BX9wGRKljEg8ncYZPEWV1C7EoTbNpwKwsGlBJ8ONxu-yau4Y2GI9chxIqs3isqeRw_19qK9brvo2LH_39NL_v3HTCbY7zJ-qcJHxM9Hrk3iYco52p_m23xq9k2Gvc.vulUGJwcyNKEbAMuwHzh_B7MplNlUV8WuqLF8SesABk&dib_tag=se&qid=1735477082&refinements=p_89%3ASkillmatics&s=toys&sr=1-6,567,599,800+,4.0,255,https://m.media-amazon.com/images/I/81IRB8RNeNL._AC_UL320_.jpg,,5.34
"Skillmatics Rock Painting Kit - Mess-Free Art & Craft Activity For Girls & Boys, Craft Kits & Supplies, Diy Creative Activity, Gifts For Kids Ages 4, 5, 6, 7, 8, 9, 10, 11, 12, Multicolor",https://www.amazon.in/Skillmatics-Rock-Painting-Kit-Multicolor/dp/B0CXTGP7M6/ref=sr_1_7?dib=eyJ2IjoiMSJ9.Ia83r0UShgS5psMV683oJvjWtOeki0_G3XggXiOUPCvey0cxJg8UnRnBfZTvwuCSs_01zmyPp3OjCcg3C6SoXGMA-4VZpWhPgcjIrz0EfnQFXlwlfls15p44cONrB94nc53yLZmLrn3cfGanvazO1X9b-mP2bQf5BdSrsFEalQvYfGBzzx2O6liWp3fpoCf0zfw4-IH-FWe256fOebq0TOguz4BzG0GgFvZuIMKNs8kR96BX9wGRKljEg8ncYZPEWV1C7EoTbNpwKwsGlBJ8ONxu-yau4Y2GI9chxIqs3isqeRw_19qK9brvo2LH_39NL_v3HTCbY7zJ-qcJHxM9Hrk3iYco52p_m23xq9k2Gvc.vulUGJwcyNKEbAMuwHzh_B7MplNlUV8WuqLF8SesABk&dib_tag=se&qid=1735477082&refinements=p_89%3ASkillmatics&s=toys&sr=1-7,948,999,1K+,4.0,80,https://m.media-amazon.com/images/I/81FylXzS5QL._AC_UL320_.jpg,,5.11
"Skillmatics Card Game - Guess in 10 Countries of The World, Perfect for Boys, Girls, Kids, and Families Who Love Educational Toys, Travel Friendly, Gifts for Ages 8, 9, 10 & Up",https://www.amazon.in/Skillmatics-Countries-World-Questions-Knowledge/dp/B08GKP3L51/ref=sr_1_8?dib=eyJ2IjoiMSJ9.Ia83r0UShgS5psMV683oJvjWtOeki0_G3XggXiOUPCvey0cxJg8UnRnBfZTvwuCSs_01zmyPp3OjCcg3C6SoXGMA-4VZpWhPgcjIrz0EfnQFXlwlfls15p44cONrB94nc53yLZmLrn3cfGanvazO1X9b-mP2bQf5BdSrsFEalQvYfGBzzx2O6liWp3fpoCf0zfw4-IH-FWe256fOebq0TOguz4BzG0GgFvZuIMKNs8kR96BX9wGRKljEg8ncYZPEWV1C7EoTbNpwKwsGlBJ8ONxu-yau4Y2GI9chxIqs3isqeRw_19qK9brvo2LH_39NL_v3HTCbY7zJ-qcJHxM9Hrk3iYco52p_m23xq9k2Gvc.vulUGJwcyNKEbAMuwHzh_B7MplNlUV8WuqLF8SesABk&dib_tag=se&qid=1735477082&refinements=p_89%3ASkillmatics&s=toys&sr=1-8,333,350,800+,4.4,"4,391",https://m.media-amazon.com/images/I/81xD3RlGr6L._AC_UL320_.jpg,Ages: 8 years and up,4.86
"Skillmatics Kid India Map Puzzle - 70 Pieces, Educational Toy, Learn 300+ Facts About India, Gifts For Ages 6 To 12",https://www.amazon.in/Skillmatics-India-Map-Puzzle-Educational/dp/B0C6QGVR7M/ref=sr_1_9?dib=eyJ2IjoiMSJ9.Ia83r0UShgS5psMV683oJvjWtOeki0_G3XggXiOUPCvey0cxJg8UnRnBfZTvwuCSs_01zmyPp3OjCcg3C6SoXGMA-4VZpWhPgcjIrz0EfnQFXlwlfls15p44cONrB94nc53yLZmLrn3cfGanvazO1X9b-mP2bQf5BdSrsFEalQvYfGBzzx2O6liWp3fpoCf0zfw4-IH-FWe256fOebq0TOguz4BzG0GgFvZuIMKNs8kR96BX9wGRKljEg8ncYZPEWV1C7EoTbNpwKwsGlBJ8ONxu-yau4Y2GI9chxIqs3isqeRw_19qK9brvo2LH_39NL_v3HTCbY7zJ-qcJHxM9Hrk3iYco52p_m23xq9k2Gvc.vulUGJwcyNKEbAMuwHzh_B7MplNlUV8WuqLF8SesABk&dib_tag=se&qid=1735477082&refinements=p_89%3ASkillmatics&s=toys&sr=1-9,664,699,700+,4.2,436,https://m.media-amazon.com/images/I/910li7k10pL._AC_UL320_.jpg,Ages: 6 - 12 years,5.01
"Skillmatics Paper Art & Craft Activity - Foil Fun Disney Frozen, Mess-Free Art for Kids, Craft Kits, DIY Creative Activity, Gifts for Girls & Boys Ages 4, 5, 6, 7, 8, 9, Multicolor",https://www.amazon.in/Skillmatics-Art-Craft-Activity-Mess-Free/dp/B0D39XBMG3/ref=sr_1_10?dib=eyJ2IjoiMSJ9.Ia83r0UShgS5psMV683oJvjWtOeki0_G3XggXiOUPCvey0cxJg8UnRnBfZTvwuCSs_01zmyPp3OjCcg3C6SoXGMA-4VZpWhPgcjIrz0EfnQFXlwlfls15p44cONrB94nc53yLZmLrn3cfGanvazO1X9b-mP2bQf5BdSrsFEalQvYfGBzzx2O6liWp3fpoCf0zfw4-IH-FWe256fOebq0TOguz4BzG0GgFvZuIMKNs8kR96BX9wGRKljEg8ncYZPEWV1C7EoTbNpwKwsGlBJ8ONxu-yau4Y2GI9chxIqs3isqeRw_19qK9brvo2LH_39NL_v3HTCbY7zJ-qcJHxM9Hrk3iYco52p_m23xq9k2Gvc.vulUGJwcyNKEbAMuwHzh_B7MplNlUV8WuqLF8SesABk&dib_tag=se&qid=1735477082&refinements=p_89%3ASkillmatics&s=toys&sr=1-10,948,999,700+,4.3,49,https://m.media-amazon.com/images/I/91G++FG4MAL._AC_UL320_.jpg,Ages: 4 - 9 years,5.11
